Modelo;Prompt;Materia;Actividad;Coherecia;Coherencia_just;Especificidad;Especificidad_just;Fluidez;Fluidez_just;Realizable en aula;Realizable_just; Relevancia curricular;Curriculo_just; Nivel adecuado al estudiante ;Nivel_just;Adaptaciones;Adaptaciones_just;Claridad de instrucciones ;Claridad_just;Engagement;Engagement_just;Originalidad;Originalidad_just; Ajuste al estilo de aprendizaje;Ajuste_just;Columna6;Columna7;Columna8
sonnet7;colocar;mates;k_supermercado;9;;9;;8;;9;Perfectamente factible;7;Buen nivel para principio de curso. Nivel bajo para final;9; Las adaptaciones están muy medidas y calculadas.;8;Muy acorde a las necesidades;8;La descripción hace un repaso completo a la actividad antes de entrar en todos los detalles para dar contexto;7; Fomenta la implicación personal en el rol, da oportunidad creativa a la hora de decorar y teatralizar el rol.;8; El punto original está en la estrategia de implantación, no tanto en la idea global (supermercado);8;  Ajuste bastante completo. ;;;
gemini;colocar;mates;k_feria_acertijos;8;;7;;8;;6;Puede ser complicado asistir a 4 grupos ;8;Muy adaptado al currículo;8;Cada tarea individual se ajusta al nivel;7;Se falicitan adaptaciones necesarias;7;Bastante comprensible;9;Los acertijo despiertan curiosidad, piratas les suele gustar;8;Muy original;6;No está especialmente diseñada para que se utilice un estilo de aprendizaje específico, todos exploran diferentes opciones visuales, auditivas y kinéticas;;;
gemini;complejo;mates;llevadas;;;;;;;3;Excesivamente compleja;6;Difícil;7;Cada tarea individual es adecuada;6;Adaptaciones extremandamente precisas, pierden realidad práctica;4;Difícil de comprender;7;Atractiva en su forma;8;Muy original;6;Tanto ajuste lo complejiza;;;
gemini;complejo;mates;supermercado;3;Cosas bastante inconexas;6;Define qué hace cada uno pero es muy complejo de gestionar;4;;4;Tareas complejas individualizadas sin desarrollo específico ni coherencia;6;Compleja y poco definida;6;Detallan aspectos importantes pero no especifican demasiado;5;Hay adaptaciones majas pero no tienen en cuenta el contexto real de aula ;5;Describe de manera demasiado general y poco úitl para un profesor;6;Difícil de comprender su tarea;6;Un supermercado muy por encima y ya;;;;;
gpt4;medio;mates;tiendas;6;Algo coherente;5;Define una actividad posible pero no reparte demasiado las tareas;3;no se sabe  ;4;Tareas complejas individualizadas sin desarrollo específico ni coherencia;5;Compleja y poco definida;6;Detallan aspectos importantes pero no especifican demasiado;6;Adaptaciones generales que no se especifican en qué se convierten en esta actividad concreta;4;Difícil de comprender;4;Difícil de comprender su tarea;4;;7;Bastante ajustado;;;
opus_4;medio;mates;feria_acertijos;3;Cosas bastante inconexas;3;En realidad no sabes que hace cada estudiante en cada momento;3;no se sabe ;6;No está muy definida, ;8;Las competencias se supone que son las adecuadas, pero estan definidas en términos muy generales;6;Detallan aspectos importantes pero no especifican demasiado;6;Adaptaciones generales que no se especifican en qué se convierten en esta actividad concreta;6;Más o menos se entiende aunque hay que definir muchas cosas;7;Los acertijos crean mucha curiosidad;6;;7;Bastante ajustado;;;
sonnet7;colocar;mates;k_fabrica_fracciones;9;Toda las tareas están equililbradas y orientadas a la actividad;8;Define los pasos y en cada momento se sabe lo que hace cada estudiante permitiendo libertad creativa;7;;9;Perfectamente factible;9;Detalla aspectos que tocan muchas áreas curriculares del nivel;8;Está perfectamente adecuado al nivel;9;Las adaptaciones se ajustan con mucho sentido del contexto completo;8;La descripción hace un repaso completo a la actividad antes de entrar en todos los detalles para dar contexto;8;Tareas divertidas y generan curiosidad;8;Juega un poco con el absurdo, pero obligando a trabajar el pensamiento abstracto;6;No está especialmente diseñada para que se utilice un estilo de aprendizaje específico, todos exploran diferentes opciones visuales, auditivas y kinéticas;;;
sonnet7;medio;mates;fabrica_fracciones;4;Solo parecen coherentes;3;Especifica muy poco ;3;no se sabe;7;No define lo que se va a construir;7;Las competencias se supone que son las adecuadas, pero estan definidas en términos muy generales;6;La construccion de algo se puede volver compleja;6;Adaptaciones  generales que no se especifican en qué se convierten en esta actividad concreta;5;Describe de manera demasiado general y poco úitl para un profesor;5;Al no definir demasiado las cosas, todo se queda en aspectos muy generales;6;Contruir una fábrica puede enganchar pero si el proceso es lento puede aburrir. ;7;Bastante ajustado;;;
gemini;simple_ complejo;ciencias;celula_simple;7;Bastante coherente;3;Especifica muy poco ;3;no se sabe;9;;9;;9;;6;Adaptaciones  generales que no se especifican en qué se convierten en esta actividad concreta;5;Describe de manera demasiado general y poco úitl para un profesor;5;Al no definir demasiado las cosas, todo se queda en aspectos muy generales;5;Hacer un mural es algo muy básico;8;Ajuste bastante completo;;;
deepseek;complejo_plus;ciencias;celula;5;Despliega demasiadas actividades difíciles de gestionar a la vez, que precisan mucho tiempo, etc. ;4;Se entiende el global pero no define adecuadamente;4;crea un entorno muy complejo de convivir;4;Nivel de complejidad alto para realizar de forma conjunta;8;;6;Complejo, mezcla cosas;6;Adaptaciones  generales que no se especifican en qué se convierten en esta actividad concreta;4;;5;;5;;7;Bastante ajustado;;;
