code;(near-) identical experiments;data type;task;task info;bias type;block design;task instructions;attention;task phases;response time limit;response;sensory input;stimuli (figures) total;figure congruence type;figure congruence type info;distractor presentation;stimulus type;stimuli;figure position;size local features;size global features;trial number;trials info;congruent trial fraction;other trial fraction;other trials info;incongruent trial fraction;task conditions;task conditions info;participant number;participant info;approx mean age;groups;groups info;sessions;sessions info;approximate testing year;median RT;mean RT;mean accuracy;paper
FXLEa;N/A;trial data;simple;compound stimulus appears, disappears, participant reports local or global feature depending on instruction;performance;loc-glo-loc-glo;respond as quickly and accurately as possible;directed;1;N/A;report feature;visual;1;identity;N/A;random (Stroop-interference);letters;H, T;fixed;0.8° × 0.57°;8° × 5.7°;96;N/A;0.5;0;N/A;0.5;1;N/A;75;recruited on prolific, 23-28 year old UK residents;25;1;N/A;2;approx 1 week apart;2021;350;513;0.946;N/A
FXLEb1;A;trial data;Kimchi-Palmer- traditional;compound stimulus appears (source), disappears, two compound stimuli appear, participant reports which one is more similar to the source, one matches locally and one globally;preference;N/A;don’t haste, but go with first intuition, instructions ambiguous about whether one or both choices can be correct;divided;2;N/A;choose figure;visual;3;identity;N/A;random (Stroop-interference);geometric shapes;triangle, squre, circle, cross;fixed;approx 0.68°;1.7°;32;N/A;0.5;0;N/A;0.5;1;N/A;75;recruited on prolific, 23-28 year old UK residents;25;1;N/A;2;approx 1 week apart;2021;713;896;0.857;N/A
FXLEb2;A;trial data;Kimchi-Palmer-accuracy;compound stimulus appears (source), disappears, two compound stimuli appear, participant reports which one is more similar to the source, only one matches either locally or globally;performance;N/A;don’t haste, but go with first intuition, instructions ambiguous about whether one or both choices can be correct;divided;2;N/A;choose figure;visual;3;identity;N/A;random (Stroop-interference);geometric shapes;triangle, squre, circle, cross;fixed;approx 0.68°;1.7°;32;N/A;0.5;0;N/A;0.5;1;N/A;75;recruited on prolific, 23-28 year old UK residents;25;1;N/A;2;approx 1 week apart;2021;724;979;N/A;N/A
SJIB;N/A;summary data;simple Navon;compound stimulus appears, disappears, participant reports local or global feature depending on instruction;performance;loc-glo OR glo-loc;speed and accuracy was not mentioned in the instructions;directed;1;N/A;report feature;visual;1;identity;N/A;random (Stroop-interference);numbers;3, 5;fixed;"0.45° × 0.28° (small); 0.91° × 0.51° (medium); and 1.6° × 1.03° (large)";"2.17° × 1.37° (small); 4.34° × 2.74 (medium); and 8.64° × 5.46° (large)";288;N/A;0.5;0;N/A;0.5;3;figure size small, medium, or large;52;adolescents;17;2;half neutotypical, half high functioning ASD;1;N/A;2021;N/A;513;0.946;https://doi.org/10.1007/s10803-020-04578-1
HNHY;B;summary data;simple Navon;compound stimulus appears, disappears, participant reports local or global feature depending on instruction;performance;loc-glo OR glo-loc;as quickly and accurately as they could;directed;1;N/A;report feature;visual;1;identity;N/A;random (Stroop-interference);letters;S, H, # (# is neutral (irrelvant) local element in neutral global trials);fixed;1.06° × 0.82°;7.36° × 5.32°;72;some participants only did 60 trials;0.33;0.33;neutal trials, type 2 (neutral local elements + meaningful global shape OR meaningful local elements, no global shape);0.33;1;N/A;73;elderly;86;3;Healthy, mild cognitive impariment, alzheimer;1;N/A;2022;N/A;1130;N/A;https://www.frontiersin.org/articles/10.3389/fnagi.2022.893818
LGYN;N/A;trial data;simple Navon;compound stimulus appears, disappears, participant reports local or global feature depending on instruction;performance;glo-loc-loc-glo;N/A;directed;1;N/A;report feature;visual;1;identity;N/A;random (Stroop-interference);letters;S, H;flexible;0.47° × 0.67°;3.91° × 5.25°;320;N/A;0.5;0;N/A;0.5;1;N/A;940;psychology students;N/A;1;N/A;1;N/A;2018;477;516;0.939;multiple, see LGYN-component
VHLVb;N/A;trial data;simple Navon;compound stimulus appears, disappears, participant reports local or global feature depending on instruction;performance;loc-glo OR glo-loc;N/A;directed;1;N/A;report feature;visual;1;identity;N/A;random (Stroop-interference);shapes;squares, circles, triangles, trapeziums;flexible;0.57° (as square);3.44° (as square);72;N/A;0.33;0.33;neutral trials, type 1 (neutral local elements + meaningful global shape OR vice versa);0.33;1;N/A;135;elementary school children,mostly equal gender distribution;8;3;primary school children year 1, 3, 5 (with retest);2;retest 2 years later (developmental focus);2021;936;1037;0.905;https://doi.org/10.1016/j.visres.2021.03.008
LKZA;N/A;summary data;simple Navon;compound stimulus appears, disappears, participant reports local or global feature depending on instruction;performance;loc-glo-loc-glo OR glo-loc-glo-loc;speed and accuracy was not mentioned in the instructions;directed;1;N/A;report feature;visual;1;identity;N/A;random (Stroop-interference);shapes;squares, rectangles;fixed;N/A;N/A;192;N/A;0.5;0;N/A;0.5;1;N/A;60;visitors of a paranormal fair;45;2;skeptics and paranormal-belivers;1;N/A;2015;N/A;638;0.978;https://doi.org/10.1371/journal.pone.0130422
TUPW;C;summary data;simple Navon;compound stimulus appears, disappears, participant reports local or global feature depending on instruction;performance;loc-glo-loc-glo OR glo-loc-glo-loc;respond to  relevant level, as quickly and as accurately as possible, and ignore irrelevant level;directed;1;N/A;report feature;visual;1;identity;N/A;random (Stroop-interference);shapes;arrows (left and right);fixed;1°;8.5°;240;black screen or priming image, then stimulus figure;0.5;0;N/A;0.5;3;no priming, neutal image priming, negative image priming (from International Affective Picture System);68;Israeli university students;24;2;healty, generalized anxiety disorder;1;N/A;2023;N/A;445;0.968;https://doi.org/10.1080/10615806.2023.2262398 
MBOC;B;summary data;simple Navon;compound stimulus appears, disappears, participant reports local or global feature depending on instruction;performance;loc-glo OR glo-loc;respond as quickly and accurately as possible;directed;1;N/A;report feature;visual;1;identity;N/A;random (Stroop-interference);letter;S, H, # (# is neutral (irrelvant) local element in neutral global trials);fixed;1.06° × 0.82°;7.36° × 5.32°;126;N/A;0.33;0.33;neutal trials, type 2 (neutral local elements + meaningful global shape OR meaningful local elements, no global shape);0.33;3;immediately before each trial, a neutral, cute, or threatening animal picture was shown;246;university students;20;4;male, female (follicular, luteal, contraceptive);1;N/A;2022;N/A;571;N/A;https://doi.org/10.1007/s00426-021-01548-9
